Sl. No.,Metric Name,Definition,Preferred Direction
2589,Test F1 score,The test F1 score of a model,Higher
2590,Test F1 score (private),F1 score on a private test set in a classification task,Higher
2591,Test Hits@100,The number of correct predictions in the top 100 predictions on the test set,Higher
2592,Test Hits@20,Percentage of correct answers in an information retrieval task when 20 answers are allowed.,Higher
2593,Test Hits@50,A metric used to evaluate the performance of recommendation models,Higher
2594,Test MAE,The mean absolute error of a model on the test set,Lower
2595,Test mAP,Mean average precision on test set for object detection,Higher 
2596,test mAP,Test mean Average Precision,Higher
2597,test mIoU,A metric used to evaluate the performance of image segmentation models,Higher
2598,Test MRR,A metric used to evaluate the performance of recommendation models,Higher
2599,Test perplexity,Test perplexity,Lower 
2600,Test ROC-AUC,Test ROC-AUC,Higher 
2601,Test Score,Test Score,N/A
2602,Test Set (Acc-%),Test set accuracy percentage,Higher 
2603,Test Set 10@100k,Test Set 10@100k is a metric used to evaluate recommendation systems. It measures the performance of a model on a test dataset with 10 users and 100 items.,Higher
2604,Test Time,Test Time,N/A
2605,Test WER,Test Word Error Rate,Lower
2606,Testing Accuracy,A metric used to evaluate the performance of classification models,Higher
2607,Text,Text,N/A
2608,Text Context,Text Context is a metric used to evaluate natural language processing models in text generation tasks. It measures how well generated text matches human-written text in terms of context and coherence.,Higher
2609,Text model,A metric used to measure the performance of a natural language processing system .,Higher
2610,Text Score,A metric used to evaluate the performance of text classification models,Higher
2611,Text-to-audio R@1,A metric used to evaluate the performance of text-to-speech models,Higher
2612,Text-to-audio R@10,Text-to-audio recall at 10,Higher 
2613,Text-to-audio R@5,Text-to-audio Recall at 5 detections,Higher
2614,Text-to-image Medr,Median Rank for Text-to-Image retrieval task,Lower 
2615,Text-to-image R@1,Text-to-image Recall at 1,Higher
2616,Text-to-image R@10,A metric used to evaluate the performance of text-to-image generation models,Higher
2617,Text-to-image R@5,A metric used to evaluate the performance of image generation models,Higher
2618,text-to-video Mean Rank,text-to-video Mean Rank,Lower
2619,text-to-video Median Rank,A metric used to evaluate the performance of text-to-video generation models,Lower
2620,text-to-video R@1,Text-to-video recall at 1,Higher 
2621,text-to-video R@10,A metric used to measure the performance of a text-to-video retrieval system .,Higher
2622,text-to-video R@5,The text-to-video recall of a model with a recall of 5,Higher
2623,Text-to-video R@50,Text-to-video retrieval at rank 50.,Higher
2624,Text2Mol,A metric used to measure the performance of a machine learning model in generating molecules from text .,Higher
2625,Three Pixel Error,Percentage of pixels with an error of three or less,Lower
2626,TILE (All Surfaces),The tile error of a model on all surfaces,Lower
2627,Time (ms),Time in milliseconds,Lower
2628,Time Per Frame (ms),The time per frame of a model in milliseconds,Lower
2629,Time Per Frame(ms),Time per frame (ms),Lower 
2630,TIoU,Temporal Intersection over Union (TIoU) is a metric used to evaluate the accuracy of temporal action detection models. It measures the overlap between predicted and ground truth action intervals.,Higher
2631,Title,Title,-
2632,tOF,The tOF score of a model,Higher
2633,Token F1,Token F1,Higher
2634,Tokens (Billions),The number of tokens in billions of a model,Higher
2635,Top 1 (%),The top-1 percentage of a model,Higher
2636,Top 1 Accuracy,The top-1 accuracy of a model,Higher
2637,"Top 1 Accuracy (kNN, k=20)",Accuracy of top 1 prediction using k-nearest neighbors with k=20,Higher
2638,Top 1 Accuracy %,A metric used to measure the performance of an image classification system .,Higher
2639,Top 1 Error,A metric used to evaluate the performance of recommendation models,Lower
2640,Top 10 Accuracy,A metric used to evaluate the performance of recommendation models,Higher
2641,Top 20 (%),Top 20 Percentage,Higher
2642,Top 3 Error,Top 3 error,Lower 
2643,Top 5 Accuracy,A metric used to evaluate the performance of recommendation models,Higher
2644,Top 5 Accuracy (BN-free),The top 5 accuracy of a model without batch normalization,Higher
2645,Top 5 Accuracy (Deep),Accuracy of the top 5 predictions in a deep learning model,Higher
2646,Top 5 Accuracy (Dense),Top 5 accuracy (dense),Higher 
2647,Top 5 Accuracy (ID-test),A metric used to evaluate the performance of person re-identification models,Higher
2648,Top 5 Accuracy (ResNet-50),Top-5 accuracy for image classification using the ResNet-50 architecture.,Higher
2649,Top 5 Accuracy (ViT),Measures the accuracy of top 5 predictions,Higher 
2650,Top 5 Accuracy (Wide),Top 5 accuracy (wide),Higher 
2651,Top 5 Accuracy %,Top 5 Accuracy percentage,Higher
2652,Top 5 Error,Top 5 error,Lower 
2653,Top 5 Error Rate,Top 5 Error Rate,Lower
2654,Top-1,A metric used to evaluate the performance of recommendation models,Higher
2655,Top-1 (%),A metric used to evaluate the performance of classification models,Higher
2656,Top-1 (obs. ratio = 0.1),"The percentage of examples for which the correct answer is in the top 1 predictions, given that the observed ratio is 0.1",Higher
2657,Top-1 (obs. ratio = 0.2),Top-1 (observation ratio = 0.2),Higher 
2658,Top-1 (obs. ratio = 0.3),A metric used to evaluate the performance of object detection models,Higher
2659,Top-1 (obs. ratio = 0.4),Top-1 with observation ratio of 0.4,N/A
2660,Top-1 (obs. ratio = 0.5),A metric used to evaluate the performance of recommendation models,Higher
2661,Top-1 (obs. ratio = 0.6),A metric used to measure the performance of a recommendation system .,Higher
2662,Top-1 (obs. ratio = 0.7),Top-1 Accuracy with observation ratio of 0.7,Higher
2663,Top-1 (obs. ratio = 0.8),Top-1 with observation ratio of 0.8,N/A
2664,Top-1 (obs. ratio = 0.9),The top-1 accuracy of a model with an observation ratio of 0.9,Higher
2665,Top-1 accuracy,A metric used to evaluate the performance of classification models,Higher
2666,Top-1 Accuracy,Top-1 accuracy,Higher 
2667,Top-1 Accuracy (%),Proportion of correct predictions in the top 1,Higher 
2668,Top-1 accuracy %,Top-1 accuracy percentage,Higher
2669,Top-1 Accuracy(5-Way-1-Shot),A metric used to measure the performance of a few-shot learning system .,Higher
2670,Top-1 Action,Classification accuracy for recognizing the primary action in a video,Higher
2671,Top-1 Error Rate,A metric used to evaluate the performance of recommendation models,Lower
2672,Top-1 Localization Accuracy,The top-1 localization accuracy of a model,Higher
2673,Top-1 Noun,Top-1 accuracy for noun prediction task,Higher 
2674,Top-1 Verb,Top-1 verb,Higher 
2675,Top-10 Accuracy,A metric used to evaluate the performance of recommendation models,Higher
2676,Top-10 accuracy,The top-10 accuracy of a model,Higher
2677,Top-2 accuracy %,A metric used to measure the performance of a recommendation system .,Higher
2678,Top-20 accuracy,Top-20 accuracy is a metric used to evaluate recommendation systems. It measures the percentage of recommended items that are relevant to a user among the top 20 recommendations.,Higher
2679,Top-3,Top-3,N/A
2680,Top-3 Accuracy,A metric used to evaluate the performance of recommendation models,Higher
2681,Top-3 accuracy,Top-3 accuracy,Higher 
2682,Top-3 accuracy %,Top-3 accuracy percentage,Higher
2683,Top-3 Recall,Top-3 recall,Higher 
2684,Top-5,Top-5 accuracy is a metric used to evaluate image classification models. It measures the percentage of correctly classified samples among the top 5 predictions using softmax probabilities.,Higher
2685,Top-5 (%),Top-5 (%),Higher 
2686,Top-5 accuracy,A metric used to evaluate the performance of recommendation models,Higher
2687,Top-5 Accuracy,Top-5 Accuracy,Higher
2688,Top-5 Action,Accuracy of the top 5 predicted actions,Higher
2689,Top-5 Error,A metric used to measure the performance of a machine learning model .,Lower
2690,Top-5 Noun,Accuracy of top-5 predicted noun labels,Higher 
2691,Top-5 Recall,Top-5 Recall,Higher
2692,Top-5 Verb,Top-5 verb,Higher 
2693,Top-50 accuracy,The top-50 accuracy of a model,Higher
2694,Topic coherence@5,Topic coherence at 5,Higher
2695,Topic Coherence@50,Topic coherence score at top-50 words per topic in topic modeling evaluation.,Higher
2696,Toprock average,Toprock average,Higher
2697,ToS,Time of survival,Higher
2698,Total Accuracy,Total Accuracy is a metric used to evaluate classification models on imbalanced datasets with many negative samples relative to positive samples.,Higher
2699,TPUv3 Hours,The number of hours a model was trained on a TPUv3,Not Clear
2700,Track mAP,A metric used to evaluate the performance of object tracking models,Higher
2701,Train,A metric used to evaluate the performance of object detection models,Higher
2702,Train Set,Training set accuracy,Higher
2703,Train set,Train set,-
2704,Train Split,Train Split,N/A
2705,Trainable Parameters,Trainable Parameters,N/A
2706,Training Accuracy,Training accuracy,Higher 
2707,training dataset,The dataset used to train a machine learning model or neural network architecture.,-
2708,Training Split,The percentage of data used for training in a machine learning task.,Higher
2709,Training Time,Training time,Lower 
2710,Training time (hours),The number of hours a model was trained,Not Clear
2711,training time (s),Training time in seconds,Lower 
2712,Trigger Cl,A metric used to evaluate the performance of text classification models,Higher
2713,Trigger Id,Trigger Id,N/A
2714,TTA,Test Time Augmentation (TTA) is a technique used to improve the accuracy of image classification models by applying multiple augmentations to test images during inference and averaging their predictions.,N/A
2715,Tube-Boundary AP,Tube-boundary average precision,Higher 
2716,Tweet Classification Macro-F1,Macro-F1 score for tweet classification.,Higher 
2717,Type,A metric used to evaluate the performance of text classification models,Higher
2718,U-IDS,User-based Intrusion Detection System,N/A
2719,UA,UA,N/A
2720,UAR,Unweighted Average Recall for a classification or prediction task.,Higher 
2721,UAS,Unmanned Aircraft System,N/A
2722,UCC,UCC,N/A
2723,UCS,The Universal Chinese Segmentation score of a model,Higher
2724,unanswerable,Unanswerable,-
2725,UNFAIR-ToS,UNFAIR-ToS,N/A
2726,Unigram Acc,Unigram accuracy,Higher 
2727,Uniqueness,The uniqueness of a model’s output,Higher
2728,Unknown (AP),Average Precision for Unknown,Higher
2729,Unknown Recall,A metric used to evaluate the performance of recommendation models,Higher
2730,Unlabeled Attachment Score,Attachment score for an unsupervised parsing task.,Higher
2731,Unnormalized Accuracy,The accuracy of a model without normalization,Higher
2732,Unobserved Constraints,The unobserved constraints score of a model,Lower
2733,Unpermuted Accuracy,Unpermuted Accuracy,Higher
2734,Unseen accuracy,Unseen accuracy,Higher
2735,Unsupervised,Unsupervised,N/A
2736,Unweighted Accuracy,"Unweighted Accuracy is a metric used to evaluate classification models. It measures the percentage of correctly classified samples across all classes in a dataset, without weighting for class imbalance. Higher values indicate better performance.",Higher
